,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
10,2759161,2759843,2759936,2759169,2759211,2759652,2759478,2759577,2758943,2759010,2759913,2759490,2758915,2760132,2758958,2759833,2759992,2759357,2759152,2759992,2759489,2758999,2759631,2759431,2759722,2759922,2759818,2759372,2759824,2759311,2759360,2758971,2759101,2759274,2759620,2759635,2759114,2759485,2759178,2760086,2759794,2759978,2759707,2759562,2759497,2759607,2759203,2759296,2759904,2759546,2759824,2759647,2760136,2759803,2759643,2759502,2759977,2759082,2759515,2759969,2759243,2759768,2759466,2759361,2759216,2758917,2759762,2759525,2759478,2758922,2759628,2758949,2758916,2759212,2759270,2759353,2759824,2759046,2759862,2759592,2759240,2759013,2759086,2759949,2759038,2759639,2759590,2758990,2759858,2759969,2759772,2759699,2759899,2759180,2759623,2759551,2759682,2758931,2759000
11,2759353,2759014,2759122,2759381,2760004,2759484,2759598,2759087,2759457,2760128,2759818,2759500,2759891,2760016,2759536,2760099,2759367,2759820,2759952,2759485,2759218,2758920,2760059,2759961,2759819,2759254,2759701,2758932,2759488,2759514,2759273,2759356,2760019,2759081,2759541,2759762,2759180,2759787,2760081,2759302,2760050,2759724,2759899,2759460,2759134,2759561,2759177,2759050,2759834,2759119,2759624,2759669,2760051,2759210,2760016,2758932,2760081,2759797,2758940,2759779,2760054,2758982,2759908,2759612,2759647,2759516,2759474,2759095,2759022,2759988,2759715,2759788,2759884,2759148,2759507,2759780,2759044,2758945,2759292,2758955,2759233,2760043,2759796,2760078,2759300,2758920,2759533,2759747,2758979,2760088,2760090,2759941,2759060,2759289,2759462,2759698,2759070,2758982,2760009
12,2759798,2759745,2759651,2759647,2759010,2759632,2759038,2759317,2759062,2759606,2759615,2758974,2759036,2759567,2759695,2759598,2759319,2759593,2760106,2759910,2759643,2759595,2759563,2759667,2759526,2759060,2759017,2759075,2759340,2758958,2759394,2759619,2759153,2759944,2759545,2759141,2759280,2759448,2759986,2759522,2759283,2759112,2759966,2759168,2759923,2758937,2759638,2758980,2759764,2759939,2759547,2760087,2759440,2759808,2760053,2759067,2759088,2759638,2759499,2758926,2759963,2759459,2759593,2759717,2759656,2759076,2759935,2759914,2760106,2759885,2759856,2759687,2759781,2759634,2759107,2759438,2759212,2759600,2759163,2759741,2759802,2759340,2759776,2760073,2759367,2760136,2758990,2759723,2759388,2760033,2758977,2759904,2760130,2759610,2759077,2759686,2759732,2759848,2759890
13,2759713,2759764,2759212,2759547,2759127,2759137,2759926,2759661,2759636,2759541,2760060,2759547,2759772,2758958,2759717,2758968,2759971,2758930,2759631,2759330,2759598,2759357,2758986,2759847,2759735,2759550,2759827,2759139,2759861,2759883,2760039,2759600,2759894,2759969,2759585,2759507,2759744,2760044,2759285,2760009,2759501,2759474,2759634,2759592,2759663,2759369,2759865,2760033,2759787,2759077,2759911,2759397,2759462,2759570,2759883,2759491,2759941,2759462,2759495,2759033,2759332,2758974,2759948,2759858,2759841,2759353,2759221,2759319,2759445,2759713,2759292,2759496,2759186,2759339,2759228,2759907,2760092,2759787,2759260,2759778,2759518,2759955,2759127,2759465,2759168,2759349,2759375,2759804,2759990,2758986,2759734,2759526,2759990,2759868,2759529,2759017,2759526,2759547,2759075
14,2759368,2759961,2758977,2759987,2759351,2759451,2759345,2760143,2759156,2760088,2759695,2759598,2759628,2759921,2759658,2759895,2759267,2759939,2759476,2759105,2759824,2759145,2759373,2759800,2759634,2759068,2759055,2758977,2760040,2759095,2760109,2759311,2759918,2759684,2759555,2759596,2759833,2759329,2759898,2759193,2759842,2758917,2760071,2759365,2760129,2759139,2758977,2759201,2759185,2760100,2759796,2758955,2760055,2760029,2760133,2759049,2760019,2759038,2759212,2759785,2759272,2759015,2759238,2759856,2759908,2760002,2759501,2759641,2759319,2759661,2759884,2758944,2759445,2759321,2759775,2759134,2759197,2759642,2759808,2759977,2759684,2759329,2759674,2759727,2759671,2759669,2759232,2759491,2760091,2759467,2760028,2759742,2759280,2759004,2759827,2759682,2760099,2759033,2759368
15,2760005,2759494,2759905,2759691,2759974,2760076,2759663,2759473,2759852,2759526,2759164,2759509,2759523,2759593,2759361,2759077,2758947,2759354,2759009,2760130,2758972,2759058,2759619,2759095,2759226,2759722,2758971,2759918,2759356,2759966,2759060,2759435,2759667,2758915,2759752,2759360,2759380,2759741,2758922,2759514,2760079,2759484,2759230,2759033,2759475,2759103,2759144,2759665,2759046,2759764,2758952,2760094,2760142,2759846,2759109,2759176,2759710,2760044,2759357,2759686,2759868,2759987,2759861,2759280,2759800,2759441,2759795,2759238,2759750,2759607,2759128,2759069,2759909,2759397,2759328,2758951,2759993,2759688,2759092,2759109,2759913,2759254,2759657,2759265,2759452,2760111,2759272,2759736,2759898,2759972,2759748,2759692,2759770,2759291,2759782,2759266,2759300,2759107,2759980
16,2759154,2759757,2759103,2759114,2760068,2758955,2760002,2759367,2759607,2758937,2759559,2759148,2759599,2759157,2759531,2759219,2759182,2760021,2759957,2759479,2760040,2759963,2759973,2759528,2759455,2759074,2760089,2759762,2759250,2759497,2759853,2759926,2759047,2759017,2759785,2759547,2760042,2759480,2759467,2759997,2759780,2759669,2759935,2759699,2759035,2759649,2759833,2758959,2759833,2759795,2760054,2759206,2759016,2759124,2760129,2759232,2759703,2759598,2759521,2758954,2759955,2759553,2760093,2759125,2759107,2759476,2759646,2759321,2758960,2759843,2760040,2760069,2759795,2759953,2759820,2759144,2759252,2759133,2759462,2760049,2759435,2759314,2759140,2758989,2759909,2759347,2759155,2759580,2759024,2760059,2759473,2759903,2759872,2759516,2759836,2759373,2759163,2759558,2759127
17,2760012,2759286,2759320,2759847,2759113,2760072,2759319,2759528,2760025,2760044,2759354,2759992,2760094,2759923,2759441,2759110,2759554,2759625,2759162,2758920,2759232,2759024,2759171,2759235,2759338,2759890,2758978,2759322,2759172,2759077,2759376,2759163,2759432,2759195,2759291,2758999,2759745,2760021,2759951,2759055,2759048,2759182,2759495,2759339,2760142,2759011,2758940,2759231,2759172,2759118,2760066,2759957,2759612,2758953,2760042,2759173,2759915,2758970,2759464,2758977,2759600,2759226,2759548,2759200,2759202,2760032,2760065,2759163,2759092,2759930,2759772,2759790,2758920,2760043,2759257,2759635,2759754,2759115,2759299,2760132,2760141,2759370,2759152,2759794,2759810,2759578,2759578,2759650,2759628,2759230,2759888,2759595,2759179,2759641,2758977,2759799,2759689,2759219,2759485
18,2759039,2759365,2758922,2759022,2759378,2758990,2759185,2759375,2759319,2759323,2759674,2759660,2759199,2759163,2759297,2759986,2759441,2759732,2759879,2759533,2758920,2759343,2759448,2759009,2759168,2759246,2759173,2759061,2759790,2759024,2759755,2760140,2759999,2759780,2759999,2760075,2759631,2760001,2759564,2759571,2759779,2759036,2759034,2759977,2759356,2759173,2759883,2759197,2759373,2759294,2759117,2759354,2759155,2760125,2759571,2759328,2759895,2759515,2759510,2759485,2759390,2759353,2759245,2759816,2759819,2759756,2759956,2760043,2759242,2759618,2759496,2759336,2759395,2759338,2758961,2759692,2759872,2759221,2759533,2759949,2759695,2759803,2759918,2759322,2759022,2759783,2759939,2759231,2758937,2759476,2759775,2759778,2759242,2759398,2760060,2759974,2758985,2760132,2759714
19,2758922,2759035,2759077,2759745,2759828,2759285,2759164,2759219,2759949,2759774,2759311,2758957,2759157,2760133,2759795,2759319,2759022,2758969,2759823,2759859,2759976,2759466,2759112,2759694,2759592,2759082,2759813,2759460,2759862,2759823,2759639,2759706,2759270,2759794,2759562,2759782,2759909,2759251,2759949,2760018,2759762,2759514,2759226,2759156,2759386,2759578,2759846,2759133,2759616,2759826,2759232,2760124,2759556,2759009,2759317,2759988,2758924,2759137,2759161,2759679,2759457,2759776,2759342,2759980,2759870,2759558,2759315,2759437,2759810,2758964,2759064,2759781,2759797,2759624,2760062,2759810,2759527,2759615,2760085,2760004,2759895,2760094,2759109,2759871,2760047,2759311,2759817,2760096,2759783,2759884,2759196,2759246,2759236,2759774,2759367,2759696,2759946,2760081,2759690
20,2759319,2759271,2759937,2759639,2758932,2759351,2759235,2758981,2759094,2759843,2759949,2759548,2759383,2758949,2759456,2759915,2758930,2759137,2759930,2759522,2759841,2759984,2760021,2759779,2759715,2759478,2759620,2759196,2759770,2760106,2759699,2759088,2759064,2759183,2760022,2759332,2759248,2759101,2759620,2759887,2759166,2759292,2759373,2760066,2759226,2759682,2760038,2759165,2759039,2759636,2759323,2759913,2759491,2759653,2759522,2759931,2759946,2759488,2759629,2759871,2759280,2759248,2759554,2759530,2760096,2759663,2759653,2759818,2759155,2760071,2759823,2760012,2759068,2759466,2759567,2759173,2760056,2759055,2759650,2759526,2759662,2759218,2759602,2759467,2759044,2759288,2759906,2759903,2760045,2759837,2758999,2759011,2759351,2759567,2759397,2758917,2760114,2759205,2759687
21,2758936,2759952,2759970,2759480,2759373,2759594,2759254,2759045,2759660,2759780,2759979,2759514,2759110,2759294,2759233,2759252,2759646,2759952,2759977,2759382,2759356,2759530,2759068,2759076,2759644,2759300,2759931,2759082,2759785,2759451,2759172,2759373,2759337,2759227,2759029,2759939,2759028,2759993,2760038,2758935,2758955,2759515,2760043,2759238,2759522,2759624,2759431,2760068,2759609,2759183,2759110,2759164,2759036,2759053,2759435,2759303,2759433,2759130,2759478,2759398,2759169,2760056,2760008,2759584,2759895,2759166,2759294,2759933,2759289,2759561,2759643,2759243,2759490,2759454,2759336,2759868,2759088,2759217,2759837,2759473,2759818,2759328,2759058,2759780,2759646,2759705,2759780,2759298,2759072,2759344,2759203,2759133,2759947,2759395,2759156,2759905,2759974,2759734,2758968
22,2759781,2759278,2758949,2759047,2758921,2759449,2759075,2759582,2759092,2759664,2759329,2759546,2759295,2759606,2759044,2758969,2760137,2759437,2759294,2759318,2759087,2759631,2759128,2760044,2759541,2758970,2759674,2760124,2759662,2759367,2758921,2759598,2759664,2759670,2759879,2759609,2759293,2759496,2758972,2758946,2759449,2759117,2759378,2759775,2759179,2759570,2759231,2760047,2759638,2760090,2758927,2759555,2759638,2759572,2759684,2759317,2759961,2759438,2759922,2759632,2759286,2759036,2759838,2759285,2759344,2759643,2759723,2759156,2760111,2759137,2759810,2759787,2759567,2759249,2759160,2759006,2759998,2758917,2758953,2759052,2759445,2759835,2759803,2760111,2758944,2758962,2758980,2759807,2759273,2759732,2759095,2759232,2759627,2759571,2758959,2759572,2759293,2759466,2759593
23,2759895,2759166,2759930,2759977,2759103,2760002,2758963,2759316,2759846,2759890,2759490,2759265,2759952,2759691,2759652,2758979,2759524,2759725,2759650,2759293,2759866,2759378,2759748,2759128,2759694,2759242,2759064,2759536,2759874,2759692,2759870,2759452,2759724,2759373,2759838,2759203,2759788,2759559,2759562,2759048,2758921,2759118,2759479,2759580,2759842,2759813,2759862,2759796,2759836,2759177,2759963,2759510,2759716,2759637,2758929,2759703,2760135,2759761,2759360,2759460,2759262,2758923,2759804,2759552,2759354,2759829,2759165,2759735,2759196,2759095,2759864,2759742,2759006,2760092,2759117,2759074,2759523,2759147,2759395,2759529,2758954,2759977,2759885,2759541,2759067,2759866,2760063,2759568,2759536,2760140,2759113,2759793,2758928,2758937,2759242,2760099,2759947,2759577,2759139
24,2760006,2759260,2759777,2759705,2759669,2758920,2759835,2759201,2759608,2759027,2759865,2759376,2759493,2759607,2759124,2759127,2759036,2760026,2759350,2759895,2759543,2759711,2759705,2759762,2758922,2759756,2759772,2759963,2759834,2759804,2759608,2760041,2760076,2760125,2759205,2759848,2759231,2758923,2760140,2759179,2759020,2759717,2759741,2759110,2759314,2759499,2760069,2758916,2759888,2759314,2759849,2759329,2759837,2759734,2759594,2759727,2759093,2759553,2759252,2760072,2759660,2758971,2758920,2759437,2759922,2759272,2759232,2759435,2759010,2759976,2759673,2759829,2759155,2759293,2759953,2759547,2759952,2759200,2759250,2759218,2759576,2759849,2758931,2759511,2759744,2759965,2759980,2760014,2760112,2759369,2759271,2759678,2759632,2759525,2760045,2759727,2759446,2759153,2759921
25,2759514,2760131,2759946,2760087,2759678,2759642,2759730,2759267,2759144,2759301,2760013,2759747,2759061,2759770,2759357,2759745,2759265,2759636,2759443,2759957,2758923,2759201,2759670,2759207,2759435,2760070,2758923,2759497,2759180,2759518,2759154,2758965,2760073,2759387,2759509,2759100,2759395,2759867,2759857,2759838,2759540,2759599,2759522,2759664,2759726,2759759,2759766,2758935,2759665,2759656,2760001,2760008,2759045,2759817,2759388,2759383,2759451,2759881,2759978,2758917,2759239,2759587,2759581,2760028,2759013,2759609,2760021,2759317,2759642,2759748,2759217,2760009,2760007,2759376,2759933,2759146,2759941,2759979,2760064,2759173,2759788,2759358,2758951,2759897,2759906,2760053,2759594,2759973,2759660,2759441,2759958,2759580,2759699,2760038,2759039,2760003,2759915,2759194,2759834
26,2758958,2759714,2759450,2759199,2759217,2759788,2758964,2758930,2759696,2759927,2759446,2760056,2759112,2759354,2759871,2759866,2759221,2759328,2759643,2760085,2760121,2759239,2760081,2760056,2759855,2759238,2759296,2760014,2759064,2759179,2759055,2759125,2759205,2759979,2759937,2759894,2759747,2759051,2759074,2759701,2760121,2759307,2758943,2759260,2759803,2759064,2759180,2759518,2759077,2759061,2759986,2760033,2759646,2759852,2759822,2759670,2759495,2760049,2760008,2759086,2759978,2759904,2760054,2759304,2760141,2759446,2759254,2759249,2760002,2759011,2760100,2759348,2759755,2759933,2759077,2759054,2759961,2759584,2759995,2759353,2759855,2759022,2759574,2759886,2759984,2759338,2759073,2758947,2759479,2759248,2759663,2759450,2759207,2759766,2760068,2759589,2759716,2759309,2759624
27,2759091,2759235,2759488,2760094,2759745,2759027,2759397,2759766,2759401,2760065,2759667,2759315,2759381,2759735,2759259,2759618,2759529,2759356,2759280,2759358,2760130,2759910,2759779,2758979,2760128,2760059,2758958,2759976,2759851,2759502,2758939,2760142,2759189,2759119,2759105,2760009,2759774,2759228,2759105,2759927,2759948,2760141,2759183,2760046,2759286,2759541,2759097,2759566,2759305,2759909,2759738,2759776,2759509,2759350,2759639,2760084,2758977,2759069,2759525,2759540,2760066,2760045,2760081,2759210,2759909,2760119,2760072,2760012,2759390,2759818,2760081,2759497,2759882,2760137,2760001,2759390,2759350,2759980,2760088,2759162,2759694,2759196,2759511,2758917,2759776,2758939,2759696,2759239,2759725,2759387,2759970,2759865,2759185,2759853,2759798,2759748,2760049,2759632,2760054
28,2759528,2759870,2759016,2759898,2759988,2759987,2759851,2759440,2759238,2759239,2759785,2759683,2759050,2759768,2759231,2759062,2759098,2759555,2759359,2759836,2759475,2760028,2759254,2759942,2758958,2759577,2759715,2759370,2759933,2759907,2759651,2759848,2759275,2759297,2759762,2759556,2759756,2759873,2759198,2758932,2759297,2758937,2759161,2758990,2759882,2759515,2759882,2759219,2759102,2759754,2759358,2759730,2759856,2759578,2759566,2760032,2759557,2759340,2758957,2759980,2759682,2759266,2759663,2759218,2759730,2759993,2759992,2759347,2759781,2759757,2759362,2759822,2759018,2759122,2759690,2759646,2758990,2759033,2759010,2759652,2760005,2759153,2759332,2759951,2759763,2759582,2759877,2759437,2759139,2759987,2759937,2759921,2759857,2759903,2759841,2759491,2759521,2758922,2759584
29,2759500,2759275,2759976,2758954,2759752,2759078,2760068,2759034,2759376,2758924,2759517,2759651,2759741,2760088,2758932,2760032,2759311,2759489,2759267,2759463,2758952,2759445,2759795,2759348,2759956,2759329,2758930,2759135,2759576,2759130,2759874,2759166,2759881,2759529,2759018,2759265,2759966,2759491,2759558,2759702,2759347,2759493,2759882,2759955,2759436,2759167,2758927,2760065,2759961,2759480,2759515,2759969,2758999,2758930,2759303,2759624,2758920,2759242,2759282,2759554,2760136,2760087,2759977,2760016,2759281,2759054,2760142,2758976,2759683,2759868,2759616,2759627,2759069,2759627,2759823,2760014,2759756,2759185,2760094,2758924,2759156,2759024,2759824,2759645,2759127,2759257,2759602,2759072,2759632,2760106,2759587,2759927,2759782,2759046,2759600,2759093,2760006,2759292,2760101
30,2759609,2760087,2759049,2759670,2759441,2759094,2759108,2759277,2759495,2760093,2759061,2760044,2759248,2759916,2759382,2760119,2760008,2759656,2759530,2759445,2759779,2759321,2759908,2759567,2759454,2759724,2759285,2759013,2759631,2759052,2759038,2759803,2759958,2759946,2760053,2759311,2759838,2759279,2759525,2759301,2759391,2759171,2759235,2759395,2759117,2759528,2759286,2759058,2759232,2759528,2759735,2759140,2759657,2759068,2759167,2760092,2759886,2759163,2760089,2759507,2759822,2759388,2759242,2759316,2759050,2759289,2759488,2758985,2759354,2759979,2758952,2759620,2759650,2758926,2759137,2759702,2759017,2759106,2759105,2759554,2759779,2759698,2759751,2759020,2759526,2759530,2759629,2759119,2759970,2759824,2759595,2759039,2759949,2758920,2759358,2759148,2760001,2759257,2759783
31,2759375,2759282,2759208,2760075,2759286,2760111,2759594,2758970,2759593,2759859,2759627,2759734,2759654,2759020,2759219,2760090,2759261,2759518,2759553,2759009,2760046,2759819,2759272,2759093,2759158,2758957,2759526,2759913,2759227,2759903,2759803,2759319,2759302,2759701,2759990,2760002,2759160,2759669,2759279,2759755,2759358,2759365,2759270,2759094,2759013,2759437,2759968,2759029,2759957,2759060,2759035,2760114,2759507,2759931,2759946,2759514,2759178,2759169,2759163,2759200,2759012,2759769,2759182,2759598,2759207,2759654,2759601,2759754,2759367,2759189,2760125,2759268,2759201,2759547,2759216,2760003,2759528,2759974,2759028,2759321,2759528,2759667,2759046,2759956,2758929,2759627,2759251,2759742,2758983,2759198,2759701,2760055,2759650,2760049,2759232,2759785,2759895,2759212,2759122
32,2759706,2759242,2759894,2759166,2759726,2759922,2759808,2759449,2760080,2759158,2759883,2759636,2759260,2759842,2760086,2759859,2759998,2759347,2759707,2759903,2759555,2758926,2759464,2759774,2759778,2760118,2759584,2759095,2759750,2759476,2759957,2760122,2760049,2759939,2759110,2759298,2759398,2759921,2759550,2759734,2759738,2759919,2759610,2759398,2759348,2759826,2759710,2759548,2759431,2759330,2759235,2759794,2759128,2759303,2759775,2758983,2759667,2759381,2759858,2759225,2759233,2760065,2759742,2760062,2759347,2759600,2759725,2760039,2759179,2760122,2759183,2759490,2759260,2759206,2759511,2759624,2759870,2759908,2759577,2759867,2758924,2759050,2759452,2759385,2759944,2759933,2759078,2759615,2759236,2759890,2760038,2760022,2759449,2759114,2759330,2759593,2759944,2759799,2759559
33,2759679,2760032,2759034,2759458,2759820,2759587,2759301,2759944,2758969,2759638,2759230,2759370,2759969,2759879,2759582,2759203,2759189,2759925,2759777,2759660,2759918,2759732,2759870,2759465,2759262,2759350,2759638,2759109,2759865,2759790,2759093,2759185,2759108,2759887,2759594,2759852,2759904,2759062,2759107,2759529,2759228,2759566,2759849,2759497,2759939,2759269,2759189,2759974,2759530,2760060,2759748,2759288,2759198,2759692,2759788,2759222,2759901,2759711,2760004,2760135,2758952,2759757,2759842,2759128,2759385,2759529,2759230,2759213,2758952,2759664,2759870,2759353,2760040,2759620,2759360,2759035,2759777,2759049,2759529,2759248,2760101,2759044,2759188,2760018,2760085,2759348,2759451,2759656,2758957,2760021,2759281,2759847,2759824,2759506,2759322,2759072,2759916,2760045,2759209
